Id,Sire,Dam
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,NA,NA
7,NA,NA
8,NA,NA
9,NA,NA
10,NA,NA
11,NA,NA
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
16,NA,NA
17,11,8
18,NA,NA
19,9,8
20,NA,NA
21,NA,NA
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
27,9,8
28,9,17
29,NA,NA
30,NA,NA
31,NA,NA
32,1,4
33,NA,NA
34,5,6
35,1,13
36,NA,NA
37,NA,NA
38,12,14
39,9,8
40,25,20
41,1,13
42,25,21
43,12,14
44,12,33
45,9,27
46,24,26
47,25,20
48,32,4
49,12,14
50,16,34
51,12,33
52,24,26
53,36,23
54,25,21
55,30,29
56,25,20
57,18,22
58,12,14
59,12,33
60,16,34
61,9,27
62,30,40
63,24,26
64,30,29
65,30,42
66,25,21
67,25,20
68,32,4
69,12,43
70,12,44
71,47,27
72,41,13
73,47,45
74,30,29
75,30,42
76,30,40
77,25,20
78,25,21
79,24,26
80,24,51
81,47,61
82,5,3
83,12,44
84,12,14
85,47,27
86,25,56
87,30,29
88,30,40
89,30,42
90,25,21
91,25,20
92,47,61
93,54,51
94,36,23
95,54,26
96,12,43
97,12,14
98,5,3
99,32,4
100,12,44
101,25,20
102,30,42
103,54,51
104,47,81
105,30,29
106,47,61
107,25,21
108,30,40
109,54,26
110,12,14
111,41,23
112,32,4
113,32,4
114,54,51
115,25,20
116,30,29
117,30,56
118,25,21
119,78,76
120,54,26
121,74,77
122,30,42
123,30,42
124,57,64
125,30,40
126,5,3
127,32,4
128,74,92
129,30,42
130,12,14
131,50,22
132,228,211
133,306,135
134,306,308
135,306,308
136,133,135
137,133,135
138,133,134
139,12,44
140,54,93
141,78,76
142,136,77
143,74,138
144,78,103
145,30,40
146,74,92
147,25,21
148,30,42
149,30,56
150,233,230
151,84,75
152,54,51
153,54,26
154,133,308
155,57,64
156,50,22
157,236,239
158,107,88
159,NA,NA
160,NA,NA
161,NA,NA
162,NA,NA
163,NA,NA
164,NA,NA
165,NA,NA
166,NA,NA
167,NA,NA
168,NA,NA
169,NA,NA
170,NA,NA
171,NA,NA
172,NA,NA
173,NA,NA
174,NA,NA
175,NA,NA
176,NA,NA
177,133,134
178,306,308
179,306,309
180,306,308
181,NA,NA
182,NA,NA
183,NA,NA
184,NA,NA
185,NA,NA
186,NA,NA
187,NA,NA
188,NA,NA
189,NA,NA
190,NA,NA
191,NA,NA
192,NA,NA
193,NA,NA
194,NA,NA
195,NA,NA
196,NA,NA
197,NA,NA
198,NA,167
199,188,162
200,188,163
201,166,165
202,188,163
203,188,162
204,NA,NA
205,166,165
206,NA,NA
207,189,186
208,188,163
209,166,201
210,189,186
211,192,193
212,192,194
213,188,199
214,173,170
215,189,186
216,189,185
217,168,184
218,192,193
219,207,201
220,203,199
221,173,172
222,NA,NA
223,169,170
224,207,176
225,192,194
226,189,186
227,192,195
228,192,193
229,189,185
230,207,201
231,173,172
232,207,205
233,207,176
234,169,170
235,168,184
236,192,194
237,192,195
238,192,193
239,192,211
240,189,185
241,169,172
242,207,205
243,207,201
244,169,214
245,NA,NA
246,NA,NA
247,207,176
248,192,218
249,192,195
250,192,206
251,192,211
252,189,185
253,207,205
254,NA,NA
255,169,214
256,233,176
257,207,201
258,207,230
259,204,218
260,189,185
261,204,211
262,192,194
263,207,205
264,207,230
265,NA,NA
266,233,176
267,189,185
268,207,205
269,236,239
270,236,251
271,NA,NA
272,NA,NA
273,228,194
274,229,185
275,210,199
276,215,252
277,233,201
278,NA,NA
279,NA,NA
280,233,230
281,229,260
282,236,251
283,228,261
284,229,185
285,210,264
286,228,211
287,233,305
288,133,179
289,210,239
290,133,178
291,133,135
292,133,134
293,233,256
294,229,260
295,191,194
296,191,261
297,191,211
298,25,20
299,74,137
300,12,14
301,215,252
302,41,23
303,73,110
304,85,4
305,207,201
306,NA,NA
307,NA,NA
308,NA,NA
309,NA,NA
310,NA,NA
311,306,309
312,306,308
313,306,135
314,180,179
315,306,134
316,133,308
317,180,179
318,133,178
319,133,313
320,133,178
321,133,134
322,133,135
323,133,308
324,133,308
325,133,135
326,107,102
327,136,92
328,136,77
329,136,121
330,116,115
331,30,90
332,30,150
333,25,20
334,25,21
335,133,313
336,316,313
337,316,335
338,133,178
339,99,81
340,50,22
341,54,51
342,54,109
343,54,26
344,54,114
345,78,93
346,78,76
347,78,119
348,78,103
349,154,157
350,30,40
351,136,138
352,73,110
353,107,102
354,107,88
355,89,101
356,30,42
357,78,119
358,210,239
359,191,261
360,274,270
361,210,269
362,191,211
363,215,252
364,191,286
365,78,76
366,131,48
367,191,281
368,133,134
369,136,92
370,133,308
371,191,261
372,136,77
373,120,144
374,229,260
375,191,273
376,116,118
377,120,141
378,117,129
379,229,185
380,99,71
381,133,178
382,133,135
383,30,56
384,30,90
385,25,20
386,30,150
387,316,313
388,78,93
389,78,103
390,210,239
391,54,51
392,54,26
393,289,252
394,84,72
395,136,121
396,210,269
397,116,115
398,50,22
399,131,98
400,234,244
401,136,138
402,120,119
403,107,88
404,107,102
405,136,299
406,99,81
407,131,123
408,74,75
409,245,246
410,240,287
411,136,92
412,120,76
413,136,77
414,136,137
415,156,14
416,89,101
417,155,294
418,240,256
419,301,51
420,240,305
421,133,134
422,120,141
423,301,114
424,245,272
425,96,327
426,151,145
427,116,115
428,191,362
429,191,211
430,152,140
431,120,144
432,151,129
433,229,260
434,289,276
435,74,111
436,74,23
437,50,22
438,73,110
439,156,130
440,156,43
441,30,90
442,120,119
443,30,56
444,99,71
445,30,150
446,30,40
447,30,332
448,120,76
449,107,88
450,234,244
451,136,92
452,NA,NA
453,267,239
454,349,339
455,NA,NA
456,120,352
457,89,101
458,136,369
459,289,252
460,96,299
461,131,122
462,99,81
463,54,93
464,240,287
465,240,256
466,107,102
467,131,98
468,54,103
469,120,373
470,96,138
471,191,281
472,152,365
473,74,53
474,96,121
475,326,158
476,343,51
477,191,286
478,120,141
479,267,269
480,295,211
481,120,377
482,116,115
483,344,114
484,120,144
485,136,77
486,245,278
487,155,294
488,316,320
489,128,333
490,245,246
491,316,322
492,120,119
493,229,260
494,128,330
495,240,305
496,74,111
497,289,363
498,316,318
499,340,332
500,117,145
501,NA,NA
502,340,386
503,349,339
504,143,112
505,73,110
506,328,76
507,328,402
508,50,22
509,340,150
510,340,90
511,328,352
512,245,272
513,267,282
514,96,327
515,136,92
516,136,299
517,133,178
518,133,134
519,289,276
520,375,371
521,99,81
522,267,239
523,340,40
524,240,256
525,274,358
526,30,56
527,NA,NA
528,328,373
529,240,287
530,295,218
531,96,411
532,133,368
533,267,269
534,366,399
535,328,144
536,96,369
537,295,362
538,74,53
539,289,252
540,328,119
541,326,158
542,96,327
543,136,77
544,267,282
545,240,305
546,289,363
547,107,102
548,74,111
549,155,294
550,295,364
551,107,88
552,350,75
553,229,260
554,418,410
555,136,92
556,289,276
557,328,352
558,340,332
559,136,299
560,328,402
561,340,150
562,340,386
563,328,76
564,349,439
565,375,371
566,73,110
567,328,373
568,348,329
569,348,377
570,245,246
571,245,278
572,351,98
573,351,122
574,128,333
575,128,330
576,297,322
577,340,90
578,349,339
579,267,239
580,54,93
581,297,320
582,340,40
583,351,98
584,295,393
585,351,122
586,143,112
587,340,56
588,74,435
589,328,144
590,96,395
591,328,119
592,295,362
593,297,318
594,143,127
595,295,211
596,128,333
597,295,428
598,136,514
599,136,474
600,154,157
601,267,269
602,366,399
603,366,407
604,146,401
605,295,364
606,240,287
607,267,282
608,74,53
609,271,409
610,349,440
611,146,294
612,107,88
613,107,102
614,136,77
615,74,111
616,289,252
617,156,130
618,107,449
619,350,75
620,328,76
621,136,121
622,136,92
623,117,145
624,117,129
625,350,378
626,433,361
627,73,110
628,433,479
629,328,352
630,375,371
631,328,402
632,96,327
633,108,114
634,99,81
635,452,426
636,475,404
637,475,404
638,155,20
639,328,144
640,328,119
641,143,112
642,96,369
643,340,90
644,254,246
645,NA,NA
646,442,569
647,240,305
648,96,411
649,429,335
650,108,114
651,96,299
652,351,122
653,297,318
654,351,98
655,99,81
656,108,51
657,146,401
658,297,322
659,471,522
660,382,178
661,267,282
662,136,474
663,254,278
664,146,294
665,366,534
666,240,287
667,429,337
668,271,272
669,340,56
670,136,121
671,418,410
672,143,127
673,136,92
674,328,352
675,136,77
676,89,101
677,328,76
678,297,320
679,328,402
680,331,408
681,350,75
682,475,404
683,452,426
684,350,378
685,328,119
686,566,536
687,516,482
688,136,514
689,451,505
690,451,438
691,156,43
692,375,371
693,366,399
694,366,407
695,581,576
696,433,361
697,340,526
698,155,540
699,566,543
700,539,556
701,433,479
702,128,333
703,539,563
704,326,158
705,375,533
706,480,114
707,73,346
708,443,329
709,462,514
710,351,510
711,451,110
712,340,90
713,143,112
714,442,569
715,581,498
716,136,474
717,289,276
718,240,305
719,480,51
720,443,528
721,267,282
722,267,607
723,143,440
724,367,393
725,367,362
726,351,122
727,382,134
728,517,518
729,367,364
730,154,634
731,349,549
732,367,428
733,340,585
734,367,584
735,155,144
736,340,583
737,382,532
738,297,322
739,136,77
740,367,286
741,331,353
742,136,121
743,136,92
744,328,352
745,117,145
746,418,410
747,349,339
748,143,594
749,471,522
750,117,129
751,366,572
752,128,494
753,328,402
754,366,399
755,366,477
756,366,407
757,452,426
758,289,252
759,622,642
760,580,93
761,351,98
762,328,119
763,375,371
764,451,438
765,581,381
766,349,439
767,340,526
768,419,472
769,331,408
770,271,409
771,581,368
772,539,556
773,350,75
774,128,333
775,302,334
776,143,127
777,433,479
778,427,621
779,480,114
780,433,361
781,462,514
782,538,623
783,539,563
784,587,598
785,328,629
786,143,112
787,328,620
788,136,474
789,156,130
790,566,536
791,340,90
792,142,369
793,443,141
794,289,276
795,443,329
796,146,564
797,154,634
798,618,637
799,483,51
800,267,607
801,340,585
802,156,504
803,142,485
804,142,327
805,156,43
806,136,121
807,267,282
808,136,77
809,429,335
810,452,635
811,429,337
812,142,411
813,155,540
814,328,352
815,142,395
816,136,92
817,142,299
818,128,575
819,451,505
820,328,119
821,451,110
822,331,353
823,328,402
824,462,549
825,452,426
826,471,522
827,331,408
828,658,693
829,340,526
830,592,530
831,155,144
832,340,583
833,328,76
834,351,510
835,271,272
836,128,333
837,328,76
838,442,569
839,NA,NA
840,NA,NA
841,NA,NA
842,NA,NA
843,NA,NA
844,136,137
845,NA,NA
846,191,218
847,NA,NA
848,295,286
849,240,305
850,418,410
851,143,504
852,289,252
853,240,464
854,289,276
855,99,81
856,99,81
857,NA,NA
858,350,378
859,462,514
860,NA,NA
861,566,543
862,350,75
863,473,632
864,690,617
865,587,598
866,419,472
867,581,368
868,581,368
869,143,127
870,271,278
871,538,623
872,143,112
873,366,572
874,366,477
875,366,407
876,366,399
877,340,90
878,539,556
879,351,98
880,480,114
881,NA,NA
882,688,482
883,442,569
884,302,334
885,NA,NA
886,375,533
887,351,122
888,143,440
889,539,563
890,271,409
891,136,474
892,271,246
893,267,607
894,154,634
895,467,588
896,480,719
897,NA,NA
898,340,585
899,480,650
900,622,642
901,566,536
902,328,352
903,NA,NA
904,433,479
905,433,361
906,551,377
907,592,534
908,136,77
909,452,635
910,136,121
911,328,629
912,328,119
913,328,402
914,480,51
915,531,145
916,116,643
917,531,129
918,267,282
919,542,673
920,462,549
921,302,709
922,658,693
923,340,526
924,NA,NA
925,592,530
926,331,353
927,350,378
928,NA,NA
929,350,75
930,143,112
931,539,772
932,351,712
933,715,320
934,351,510
935,351,726
936,539,563
937,587,598
938,539,556
939,539,703
940,375,533
941,667,649
942,667,649
943,667,649
944,654,76
945,143,440
946,590,790
947,804,743
948,473,632
949,701,576
950,462,698
951,442,569
952,544,537
953,771,694
954,366,399
955,NA,NA
956,804,792
957,525,754
958,366,572
959,267,607
960,701,653
961,419,472
962,366,477
963,690,617
964,590,739
965,667,765
966,480,719
967,804,816
968,366,407
969,NA,NA
970,597,751
971,804,788
972,538,623
973,619,651
974,690,669
975,665,364
976,480,650
977,433,479
978,154,634
979,622,642
980,467,121
981,433,780
982,NA,NA
983,688,482
984,429,809
985,467,327
986,654,820
987,467,474
988,542,750
989,367,393
990,542,673
991,367,428
992,367,362
993,367,584
994,467,299
995,350,507
996,302,334
997,467,92
998,155,144
999,579,565
1000,452,635
1001,155,540
1002,467,485
1003,116,643
1004,531,145
1005,531,129
1006,467,77
1007,NA,NA
1008,143,786
1009,467,395
1010,966,978
1011,302,709
1012,467,369
1013,601,661
1014,NA,NA
1015,535,563
1016,331,353
1017,838,795
1018,838,793
1019,667,649
1020,350,378
1021,590,790
1022,155,781
1023,538,623
1024,375,533
1025,705,721
1026,480,114
1027,NA,NA
1028,350,75
1029,467,788
1030,590,739
1031,701,653
1032,535,783
1033,480,719
1034,630,777
1035,267,607
1036,597,751
1037,473,632
1038,535,703
1039,658,694
1040,427,621
1041,658,693
1042,544,537
1043,NA,NA
1044,NA,NA
1045,154,796
1046,701,695
1047,535,556
1048,701,498
1049,696,506
1050,467,327
1051,154,634
1052,433,780
1053,419,866
1054,419,472
1055,480,650
1056,NA,NA
1057,NA,NA
1058,NA,NA
1059,701,576
1060,619,651
1061,350,507
1062,690,617
1063,551,819
1064,688,482
1065,808,792
1066,467,92
1067,367,362
1068,367,364
1069,452,635
1070,467,485
1071,367,286
1072,367,428
1073,701,593
1074,542,673
1075,590,901
1076,NA,NA
1077,467,299
1078,367,393
1079,666,746
1080,366,572
1081,630,628
1082,895,884
1083,761,733
1084,755,726
1085,467,395
1086,467,474
1087,467,369
1088,813,540
1089,690,669
1090,755,834
1091,590,790
1092,539,772
1093,654,76
1094,375,533
1095,480,719
1096,705,721
1097,NA,NA
1098,905,649
1099,654,119
1100,761,598
1101,654,352
1102,267,607
1103,821,764
1104,654,899
1105,658,693
1106,813,144
1107,658,809
1108,658,694
1109,905,873
1110,267,918
1111,480,799
1112,535,783
1113,654,896
1114,658,922
1115,473,632
1116,480,650
1117,736,976
1118,701,498
1119,894,775
1120,761,937
1121,619,651
1122,654,820
1123,701,695
1124,654,629
1125,701,576
1126,701,576
1127,654,352
1128,654,119
1129,654,629
1130,654,76
1131,654,352
1132,654,899
1133,654,119
1134,654,896
1135,654,629
1136,654,820
1137,654,912
1138,674,762
1139,838,795
1140,538,747
1141,NA,NA
1142,108,51
1143,108,476
1144,NA,NA
1145,630,628
1146,480,114
1147,480,51
1148,480,799
1149,630,628
1150,NA,NA
1151,471,826
1152,451,110
1153,480,799
1154,451,505
1155,471,522
1156,451,438
1157,480,51
1158,384,339
1159,579,565
1160,590,739
1161,581,368
1162,630,777
1163,467,327
1164,419,961
1165,NA,NA
1166,838,793
1167,467,485
1168,592,530
1169,467,411
1170,690,617
1171,590,901
1172,590,964
1173,NA,NA
1174,419,472
1175,898,585
1176,539,703
1177,NA,NA
1178,467,92
1179,467,299
1180,467,121
1181,531,145
1182,630,628
1183,535,556
1184,433,904
1185,895,884
1186,597,751
1187,471,522
1188,804,930
1189,804,930
1190,561,346
1191,804,869
1192,375,940
1193,804,888
1194,467,792
1195,NA,NA
1196,367,584
1197,666,746
1198,433,780
1199,590,790
1200,467,395
1201,665,362
1202,350,75
1203,366,399
1204,674,762
1205,883,914
1206,590,739
1207,761,733
1208,367,428
1209,366,477
1210,467,369
1211,1009,971
1212,480,799
